ΈΤΟΣ,1. ΈΣΟΔΑ ΣΥΝΟΛΟ,11. Φόροι,12. Κοινωνικές εισφορές,13. Μεταβιβάσεις (έσοδα),14. Πωλήσεις αγαθών και υπηρεσιών,15. Λοιπά τρέχοντα έσοδα,31. Πάγια περιουσιακά στοιχεία (έσοδα),43. Χρεωστικοί τίτλοι,45. Συμμετοχές και επενδύσεις (έσοδα),52. Υποχρεώσεις από καταθέσεις και νομίσματα,53. Χρεωστικοί τίτλοι (υποχρεώσεις - έσοδα),54. Δάνεια (έσοδα),2. ΈΞΟΔΑ ΣΥΝΟΛΟ,21. Παροχές εργαζομένων,22. Κοινωνικές παροχές,23. Μεταβιβάσεις (έξοδα),24. Αγορές αγαθών και υπηρεσιών,25. Επιχορηγήσεις -Επιδοτήσεις,26. Τόκοι,27. Λοιπά έξοδα,29. Πιστώσεις υπό κατανομή,31. Πάγια περιουσιακά στοιχεία (έξοδα),33. Τιμαλφή περιουσία,44. Δάνεια κωδικού 44 (έξοδα),45. Συμμετοχές και επενδύσεις (έξοδα),53. Χρεωστικοί τίτλοι (υποχρεώσεις - έξοδα),54. Δάνεια (έξοδα),57. Χρηματοοικονομικά παράγωγα,ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ-ΕΞΟΔΑ),1001. Προεδρία της Δημοκρατίας,1001. Προεδρία της Δημοκρατίας,1001. Προεδρία της Δημοκρατίας,1002. Βουλή των Ελλήνων,1002. Βουλή των Ελλήνων,1002. Βουλή των Ελλήνων,1003. Υπουργικό Συμβούλιο,1003. Υπουργικό Συμβούλιο,1003. Υπουργικό Συμβούλιο,ΥΠΟΥΡΓΕΙΑ,ΥΠΟΥΡΓΕΙΑ,ΥΠΟΥΡΓΕΙΑ,1007. Υπουργείο Εσωτερικών,1007. Υπουργείο Εσωτερικών,1007. Υπουργείο Εσωτερικών,1009. Υπουργείο Εξωτερικών,1009. Υπουργείο Εξωτερικών,1009. Υπουργείο Εξωτερικών,1011. Υπουργείο Εθνικής Άμυνας,1011. Υπουργείο Εθνικής Άμυνας,1011. Υπουργείο Εθνικής Άμυνας,1015. Υπουργείο Υγείας,1015. Υπουργείο Υγείας,1015. Υπουργείο Υγείας,1017. Υπουργείο Δικαιοσύνης,1017. Υπουργείο Δικαιοσύνης,1017. Υπουργείο Δικαιοσύνης,1019. Υπουργείο Παιδείας και Θρησκευμάτων,1019. Υπουργείο Παιδείας και Θρησκευμάτων,1019. Υπουργείο Παιδείας και Θρησκευμάτων,1021. Υπουργείο Πολιτισμού και Αθλητισμού,1021. Υπουργείο Πολιτισμού και Αθλητισμού,1021. Υπουργείο Πολιτισμού και Αθλητισμού,1023. Υπουργείο Οικονομικών,1023. Υπουργείο Οικονομικών,1023. Υπουργείο Οικονομικών,1029. Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,1029. Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,1029. Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,1031. Υπουργείο Περιβάλλοντος και Ενέργειας,1031. Υπουργείο Περιβάλλοντος και Ενέργειας,1031. Υπουργείο Περιβάλλοντος και Ενέργειας,1033. Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,1033. Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,1033. Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,1035. Υπουργείο Ανάπτυξης και Επενδύσεων,1035. Υπουργείο Ανάπτυξης και Επενδύσεων,1035. Υπουργείο Ανάπτυξης και Επενδύσεων,1039. Υπουργείο Υποδομών και Μεταφορών,1039. Υπουργείο Υποδομών και Μεταφορών,1039. Υπουργείο Υποδομών και Μεταφορών,1041. Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,1041. Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,1041. Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,1045. Υπουργείο Τουρισμού,1045. Υπουργείο Τουρισμού,1045. Υπουργείο Τουρισμού,1053. Υπουργείο Ψηφιακής Διακυβέρνησης,1053. Υπουργείο Ψηφιακής Διακυβέρνησης,1053. Υπουργείο Ψηφιακής Διακυβέρνησης,1055. Υπουργείο Μετανάστευσης και Ασύλου,1055. Υπουργείο Μετανάστευσης και Ασύλου,1055. Υπουργείο Μετανάστευσης και Ασύλου,1057. Υπουργείο Προστασίας του Πολίτη,1057. Υπουργείο Προστασίας του Πολίτη,1057. Υπουργείο Προστασίας του Πολίτη,1059. Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,1059. Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,1059. Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ ΔΙΟΙΚΗΣΕΙΣ,ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ ΔΙΟΙΚΗΣΕΙΣ,ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ ΔΙΟΙΚΗΣΕΙΣ,1901. Αποκεντρωμένη Διοίκηση Αττικής,1901. Αποκεντρωμένη Διοίκηση Αττικής,1901. Αποκεντρωμένη Διοίκηση Αττικής,1902. Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,1902. Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,1902. Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,1903. Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,1903. Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,1903. Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,1904. Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας & Ιονίου,1904. Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας & Ιονίου,1904. Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας & Ιονίου,1905. Αποκεντρωμένη Διοίκηση Αιγαίου,1905. Αποκεντρωμένη Διοίκηση Αιγαίου,1905. Αποκεντρωμένη Διοίκηση Αιγαίου,1906. Αποκεντρωμένη Διοίκηση Κρήτης,1906. Αποκεντρωμένη Διοίκηση Κρήτης,1906. Αποκεντρωμένη Διοίκηση Κρήτης,1907. Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,1907. Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,1907. Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,ΣΥΝΟΛΟ ΕΞΟΔΩΝ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ,ΣΥΝΟΛΟ ΕΞΟΔΩΝ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ,ΣΥΝΟΛΟ ΕΞΟΔΩΝ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ
2025,0,11,22,33,44,55,66,77,88,99,100,101,0,444,555,33,111,22,1,6,77,8888,56,44,32,34,22222,222,0,12,55,0,11,23,0,33,42,0,0,0,0,56,65,0,87,67,0,4,5,0,8,9,0,5,3,0,8,3,0,23,2,0,78,2,0,43,21,0,10,8,0,99,99,0,88,88,0,77,77,0,66,66,0,55,55,0,55,44,0,33,33,0,22,33,0,33,11,0,0,0,0,22,22,0,11,1,0,14,14,0,65,111111111,0,71,15,0,14,14,0,63,8,0,0,0,0
2012,0,111,222,333,444,555,666,888,1000,1001,777,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,1111,2222,3333,4444,5555,6666,8888,10000,10001,77,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,11111,22222,33333,44444,55555,66666,88888,100000,100001,7777,9999,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,111111,222222,333333,444444,555555,666666,888888,1000000,1000001,77777,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
